task_id,task_type,developer_seniority,complexity,team_size,estimated_hours,actual_hours,error_hours,pct_error
T0435,refactor,mid,1,2,15.7,16.7,1.0,6.4
T0436,bug_fix,junior,1,3,5.6,7.9,2.3,41.1
T0437,refactor,mid,2,3,20.5,25.7,5.2,25.4
T0438,ui_design,senior,3,3,23.0,31.1,8.1,35.2
T0439,bug_fix,senior,5,4,15.2,18.9,3.7,24.3
T0440,new_feature,mid,2,1,31.2,29.4,-1.8,-5.8
T0441,ui_design,junior,1,2,11.7,14.6,2.9,24.8
T0442,new_feature,senior,2,1,27.3,40.2,12.9,47.3
T0443,bug_fix,junior,5,1,15.0,19.8,4.8,32.0
T0444,refactor,junior,1,1,13.2,9.2,-4.0,-30.3
T0445,refactor,senior,2,3,23.2,32.6,9.4,40.5
T0446,integration,mid,1,4,20.3,28.9,8.6,42.4
T0447,new_feature,mid,1,4,29.7,42.5,12.8,43.1
T0448,ui_design,mid,5,3,25.6,22.9,-2.7,-10.5
T0449,refactor,mid,1,4,15.8,29.4,13.6,86.1
T0450,new_feature,junior,2,1,38.2,66.3,28.1,73.6
T0451,ui_design,junior,5,4,32.2,53.3,21.1,65.5
T0452,ui_design,junior,4,4,22.9,46.5,23.6,103.1
T0453,refactor,junior,1,1,16.4,40.9,24.5,149.4
T0454,bug_fix,senior,3,2,10.2,9.4,-0.8,-7.8
T0455,refactor,junior,5,4,39.5,36.0,-3.5,-8.9
T0456,refactor,mid,3,2,25.3,24.9,-0.4,-1.6
T0457,bug_fix,senior,3,4,10.1,12.6,2.5,24.8
T0458,integration,senior,3,4,28.6,43.1,14.5,50.7
T0459,ui_design,mid,4,2,24.9,25.9,1.0,4.0
T0460,bug_fix,mid,1,1,6.3,4.8,-1.5,-23.8
T0461,integration,senior,5,2,46.9,77.1,30.2,64.4
T0462,bug_fix,mid,5,1,12.1,14.1,2.0,16.5
T0463,integration,senior,1,2,22.0,36.9,14.9,67.7
T0464,refactor,senior,5,3,39.8,54.7,14.9,37.4
T0465,bug_fix,senior,5,2,13.4,18.1,4.7,35.1
T0466,ui_design,junior,4,1,23.9,20.9,-3.0,-12.6
T0467,bug_fix,mid,2,2,6.9,13.7,6.8,98.6
T0468,refactor,junior,3,3,24.4,34.4,10.0,41.0
T0469,bug_fix,mid,5,1,13.6,7.5,-6.1,-44.9
T0470,ui_design,senior,1,1,13.5,12.0,-1.5,-11.1
T0471,integration,mid,5,4,44.9,41.4,-3.5,-7.8
T0472,ui_design,mid,5,1,30.6,32.3,1.7,5.6
T0473,refactor,junior,4,2,31.0,34.8,3.8,12.3
T0474,refactor,senior,2,1,22.1,22.6,0.5,2.3
T0475,integration,junior,3,1,33.5,92.5,59.0,176.1
T0476,integration,junior,1,2,21.7,42.4,20.7,95.4
T0477,ui_design,junior,5,3,27.3,44.1,16.8,61.5
T0478,bug_fix,junior,2,1,6.8,4.5,-2.3,-33.8
T0479,integration,mid,1,1,17.2,18.0,0.8,4.7
T0480,bug_fix,mid,4,1,11.6,13.5,1.9,16.4
T0481,new_feature,junior,4,3,43.1,72.7,29.6,68.7
T0482,ui_design,junior,4,4,25.6,5.5,-20.1,-78.5
T0483,new_feature,junior,1,1,22.9,28.4,5.5,24.0
T0484,integration,mid,4,2,50.7,79.7,29.0,57.2
T0485,refactor,junior,4,2,27.1,29.1,2.0,7.4
T0486,new_feature,mid,4,2,50.2,56.5,6.3,12.5
T0487,new_feature,junior,5,1,51.1,52.2,1.1,2.2
T0488,refactor,junior,2,1,20.5,20.8,0.3,1.5
T0489,integration,mid,2,3,27.4,47.3,19.9,72.6
T0490,integration,mid,5,2,36.8,67.4,30.6,83.2
T0491,ui_design,junior,3,2,20.9,35.2,14.3,68.4
T0492,ui_design,junior,3,2,24.3,23.9,-0.4,-1.6
T0493,integration,senior,2,4,25.8,43.2,17.4,67.4
T0494,integration,junior,4,3,42.1,84.8,42.7,101.4
T0495,new_feature,mid,4,2,54.2,92.5,38.3,70.7
T0496,refactor,mid,1,1,15.7,15.2,-0.5,-3.2
T0497,bug_fix,junior,3,4,9.6,18.6,9.0,93.8
T0498,new_feature,mid,5,4,44.5,94.9,50.4,113.3
T0499,ui_design,senior,2,1,17.2,21.6,4.4,25.6
T0500,refactor,senior,2,4,21.4,37.0,15.6,72.9
